Brand,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,AskPrice_Log
Volkswagen,2,50000.0,Automatic,first,petrol,1299000,14.07710606547538
Maruti Suzuki,11,60000.0,Automatic,second,petrol,299000,12.608202196848836
BMW,10,72000.0,Automatic,second,diesel,1599000,14.284889617206765
Mini,11,53000.0,Automatic,second,petrol,1600000,14.285514812209815
Toyota,6,74000.0,Manual,second,diesel,850000,13.652992804936396
MG,1,29000.0,Automatic,first,petrol,2295000,14.646243837206535
Mercedes-Benz,8,20800.0,Automatic,second,petrol,1700000,14.346139397261565
Hyundai,7,95000.0,Manual,second,petrol,565000,13.244582780038517
Mahindra,3,13000.0,Automatic,first,diesel,1700000,14.346139397261565
Mahindra,1,4000.0,Manual,first,petrol,2100000,14.557448378884015
Maruti Suzuki,3,57000.0,Automatic,second,petrol,685000,13.437175577097312
Mahindra,2,25000.0,Automatic,first,diesel,2725000,14.817979353051891
Mahindra,7,92000.0,Manual,first,diesel,1050000,13.864301674514206
MG,3,12110.0,Automatic,first,petrol,1295000,14.07402202531625
Hyundai,2,13162.0,Automatic,first,petrol,975000,13.790193775620484
Toyota,7,300000.0,Manual,first,petrol,599000,13.303018546545275
Maruti Suzuki,8,300000.0,Manual,second,petrol,265000,12.487488878546145
Audi,11,110000.0,Automatic,second,diesel,1150000,13.955273369904273
Hyundai,7,52355.0,Manual,first,petrol,499555,13.121474982898764
Hyundai,11,40595.0,Automatic,second,petrol,310000,12.644330802262578
Mahindra,3,41000.0,Manual,second,diesel,1450000,14.187074804051692
Maruti Suzuki,10,77500.0,Automatic,second,petrol,1010000,13.825461878915961
Maruti Suzuki,6,55000.0,Manual,first,petrol,595000,13.296318365198623
Hyundai,11,80000.0,Automatic,second,petrol,145000,11.884495917930655
Land Rover,0,7000.0,Automatic,first,petrol,12700000,16.357112630168974
Mercedes-Benz,8,71000.0,Automatic,second,petrol,1990000,14.503645699213111
Hyundai,17,65000.0,Manual,second,petrol,185000,12.128116509451258
Toyota,5,69000.0,Automatic,first,diesel,2699000,14.808392262507668
Maruti Suzuki,5,90000.0,Manual,first,diesel,900000,13.710151153416941
Fiat,15,79742.0,Manual,second,petrol,165000,12.013706813470414
Audi,7,45000.0,Automatic,second,diesel,1690000,14.340239678615058
Toyota,2,80000.0,Automatic,first,diesel,3375000,15.03190617858502
Toyota,12,51000.0,Automatic,second,petrol,260000,12.468440756144114
BMW,5,300000.0,Automatic,first,diesel,2550000,14.751604309291395
Aston Martin,8,257000.0,Automatic,first,petrol,26400000,17.088874605995333
Mercedes-Benz,9,58000.0,Automatic,first,diesel,2149999,14.580978400103845
Toyota,0,2596.0,Manual,first,diesel,3899999,15.176487111099874
Mahindra,1,24500.0,Automatic,first,petrol,1410000,14.159100971573958
Honda,3,125000.0,Manual,first,diesel,1075000,13.887832149776026
Maruti Suzuki,7,300000.0,Automatic,second,petrol,600000,13.304686600863562
Toyota,5,118000.0,Automatic,second,diesel,1999000,14.508158113732536
BMW,7,75000.0,Automatic,first,diesel,4000000,15.201805169084134
Mahindra,7,105000.0,Manual,second,diesel,620000,13.3374763699232
Maruti Suzuki,3,35000.0,Manual,first,petrol,851000,13.654168582642953
Audi,7,300000.0,Automatic,first,diesel,3500000,15.068273812173887
Kia,2,30891.0,Automatic,first,diesel,1875000,14.444119750719839
Hyundai,1,2500.0,Automatic,first,petrol,1800000,14.403297778421795
Maruti Suzuki,5,32000.0,Manual,second,petrol,575000,13.26212705890841
Mahindra,3,300000.0,Manual,first,diesel,1425000,14.169683073439028
Volvo,8,75000.0,Automatic,first,petrol,1375000,14.13396501635527
MG,5,71000.0,Manual,first,diesel,1275000,14.058457520888082
Audi,13,51000.0,Automatic,second,petrol,1350000,14.115615891155079
Maruti Suzuki,9,75000.0,Automatic,second,petrol,310000,12.644330802262578
Hyundai,6,39500.0,Manual,first,petrol,545000,13.208542908506082
Renault,6,120000.0,Manual,first,diesel,800000,13.592368256649284
Volkswagen,12,68900.0,Automatic,second,diesel,555000,13.22672519452875
Mercedes-Benz,7,68000.0,Automatic,first,diesel,3090000,14.94368197249847
Ford,9,80000.0,Automatic,second,petrol,465000,13.049794835104816
Maruti Suzuki,5,62000.0,Manual,first,petrol,360000,12.793862088206213
Hyundai,2,55000.0,Manual,first,diesel,1250000,14.038654909278163
